highway;other_tags;ame_d;ame_g
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes"",""motor_vehicle""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
residential;"""cycleway""=>""opposite"",""lane_markings""=>""no"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""opposite"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""cycleway:left""=>""lane"",""ref""=>""M 17"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
secondary;"""cycleway""=>""lane"",""ref""=>""M 17"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""sidewalk"",""lit""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""no"",""surface""=>""paved""";VOIE VERTE;AUCUN
tertiary;"""cycleway:left""=>""lane"",""ref""=>""M 132""";AUCUN;BANDE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""ref""=>""M 132""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""lane"",""oneway""=>""yes"",""traffic_calming""=>""table""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cyclability""=>""acceptable"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cyclability""=>""acceptable"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""advisory"",""lanes""=>""2"",""maxspeed""=>""30"",""segregated""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes"",""surface""=>""paving_stones""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""lcn""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt"",""width""=>""2.5""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
unclassified;"""cycleway:right""=>""lane"",""maxspeed""=>""50""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""oneway""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""tunnel""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""access""=>""no"",""bicycle""=>""designated"",""embankment""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no"",""rcn""=>""yes"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
path;"""access""=>""no"",""bicycle""=>""designated"",""embankment""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
cycleway;"""bridge""=>""yes"",""cycleway""=>""sidewalk"",""layer""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""designated"",""surface""=>""gravel"",""tracktype""=>""grade1""";AUTRE;AUTRE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
cycleway;"""foot""=>""yes"",""segregated""=>""yes"",""start_date""=>""2018""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""layer""=>""1"",""segregated""=>""no""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P503"",""foot""=>""designated""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""segregated""=>""yes"",""start_date""=>""2016"",""surface""=>""asphalt"",""width""=>""3""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P487"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""paving_stones""";VOIE VERTE;VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""cycleway:surface""=>""paving_stones"",""foot""=>""designated"",""footway:surface""=>""paving_stones"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""paving_stones""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""foot""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AUCUN
path;"""bicycle""=>""designated"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway""=>""sidewalk"",""footway:surface""=>""concrete"",""lit""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
path;"""bicycle""=>""designated"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway""=>""sidewalk"",""footway:surface""=>""concrete"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""yes"",""lcn""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lanes:forward""=>""2"",""maxspeed""=>""30""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""foot""=>""designated"",""oneway""=>""yes"",""wheelchair""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""admin_level""=>""11"",""alt_name""=>""Avenue François Delmas"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""3"",""lanes:forward""=>""1"",""old_name""=>""Avenue de Nîmes"",""political_division""=>""canton""";BANDE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lanes:bus""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""bridge""=>""yes"",""cycleway:both""=>""lane"",""layer""=>""1"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""bridge""=>""yes"",""cycleway""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lanes:forward""=>""2"",""layer""=>""1"",""maxspeed""=>""30"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""track"",""lane_markings""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""permissive"",""start_date""=>""2018-08"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""embankment""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no""";VOIE VERTE;VOIE VERTE
secondary;"""busway:left""=>""lane"",""cycleway:left""=>""share_busway"",""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;COULOIR BUS+VELO
residential;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""track"",""maxspeed""=>""30"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""junction""=>""roundabout"",""lanes""=>""2"",""surface""=>""asphalt"",""turn:lanes""=>""through|through""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""lane_markings""=>""no"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""lanes""=>""1"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
tertiary;"""cycleway:left""=>""track"",""cycleway:right:oneway""=>""no"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE PISTE
cycleway;"""description""=>""2015-P64"",""surface""=>""concrete:plates""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""designated"",""psv""=>""yes""";COULOIR BUS+VELO;COULOIR BUS+VELO
service;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""yes"",""maxspeed""=>""30"",""motorcycle""=>""yes"",""psv""=>""opposite_lane"",""surface""=>""sett""";COULOIR BUS+VELO;COULOIR BUS+VELO
service;"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes"",""smoothness""=>""intermediate"",""surface""=>""sett""";COULOIR BUS+VELO;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""bridge""=>""yes"",""cycleway""=>""track"",""description:covid19""=>""Piste cyclable temporaire"",""lanes""=>""2"",""lanes:backward""=>""2"",""layer""=>""1"",""old_name""=>""Avenue de Nîmes"",""surface""=>""asphalt"",""was:lanes""=>""3""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
path;"""abandoned:railway""=>""rail"",""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""railway""=>""abandoned"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
secondary;"""cycleway:right""=>""lane"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""designated"",""maxspeed""=>""30"",""psv""=>""yes""";COULOIR BUS+VELO;COULOIR BUS+VELO
service;"""access""=>""no"",""bicycle""=>""designated"",""oneway""=>""yes"",""psv""=>""yes""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""ref:MMM""=>""M 21E6""";BANDE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
track;"""bicycle""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""cycleway:surface""=>""asphalt"",""foot""=>""designated"",""footway:surface""=>""asphalt"",""lcn""=>""yes"",""lit""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""dismount"",""bridge""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""layer""=>""1"",""motor_vehicle""=>""no"",""surface""=>""wood"",""tracktype""=>""grade1""";AUTRE;AUTRE
track;"""access""=>""no"",""bicycle""=>""dismount"",""bridge""=>""movable"",""foot""=>""yes"",""horse""=>""no"",""layer""=>""1"",""motor_vehicle""=>""no"",""opening_hours""=>""Feb-Mar Mo-Fr 13:00-17:00; Feb-Mar Sa,Su 10:00-17:00; Apr Mo-Fr 13:00-18:00; Apr Sa,Su,PH 10:00-18:00; May 10:00-19:00; Jun 01-Sep 01 08:00-20:30; Sep 02-30 10:00-19:00; Oct Mo-Fr 13:00-17:30; Oct Sa,Su 10:00-17:30"",""opening_hours:url""=>""https://www.villeneuvelesmaguelone.fr/cadre-de-vie/plage"",""seamark:type""=>""pontoon"",""surface""=>""wood"",""tourism""=>""pontoon"",""tracktype""=>""grade1""";AUTRE;AUTRE
path;"""abandoned:railway""=>""rail"",""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""railway""=>""abandoned"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
secondary;"""cycleway:right""=>""track"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""layer""=>""1"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
track;"""access""=>""agricultural"",""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""tracktype""=>""grade2""";AUTRE;AUTRE
track;"""access""=>""agricultural"",""bicycle""=>""yes"",""foot""=>""yes"",""ref""=>""MOC6"",""surface""=>""compacted"",""tracktype""=>""grade1""";AUTRE;AUTRE
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""lanes""=>""2"",""maxspeed""=>""30"",""start_date:cycleway:right""=>""2018-08"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""surface""=>""paved""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""turn:lanes""=>""left|through|through"",""was:lanes""=>""3""";PISTE CYCLABLE;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""3"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""bicycle""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:left""=>""no"",""cycleway:right""=>""track"",""cycleway:right:segregated""=>""no"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""parking:lane:both""=>""parallel"",""sidewalk""=>""both"",""source:maxspeed""=>""FR:urban"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
service;"""motor_vehicle""=>""no"",""surface""=>""fine_gravel""";AUTRE;AUTRE
track;"""motor_vehicle""=>""no"",""ref:DFCI""=>""MOE5"",""ref:FR:FANTOIR""=>""340580024N"",""tracktype""=>""grade1""";AUTRE;AUTRE
service;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
path;"""access""=>""yes"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no""";VOIE VERTE;VOIE VERTE
tertiary;"""bicycle""=>""yes"",""cycleway""=>""lane"",""maxspeed""=>""50"",""ref""=>""M 112"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""old_name""=>""Rue de Montferrier"",""oneway:bicycle""=>""no""";BANDE CYCLABLE;AUCUN
cycleway;"""start_date""=>""2012-10"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";AUTRE;AUTRE
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""loc_name""=>""Rond-Point Jules Ventre"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""permissive"",""oneway""=>""yes"",""psv""=>""yes""";COULOIR BUS+VELO;AUCUN
service;"""access""=>""no"",""bicycle""=>""designated"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes""";COULOIR BUS+VELO;AUCUN
cycleway;"""start_date""=>""2012-10""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""shared"",""foot""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""foot""=>""yes"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""yes"",""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""motor_vehicle""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""ref""=>""M 27E7"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
tertiary;"""bicycle""=>""yes"",""cycleway""=>""lane"",""ref""=>""M 27E7"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
pedestrian;"""admin_level""=>""11"",""boundary""=>""administrative"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""oneway:foot""=>""no"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""foot""=>""yes"",""footway:surface""=>""asphalt"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""motor_vehicle""=>""no"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""sett""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""access""=>""agricultural"",""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""gravel"",""tracktype""=>""grade2"",""trail_visibility""=>""good""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""shared"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway:surface""=>""concrete"",""lit""=>""yes"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""cycleway""=>""sidewalk"",""lit""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
living_street;"""cycleway""=>""opposite_lane"",""maxspeed""=>""20"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
tertiary;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""start_date:cycleway:left""=>""2018"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes"",""surface""=>""concrete""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""sidewalk"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway:bicycle""=>""no"",""segregated""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";VOIE VERTE;VOIE VERTE
